"dFdlogD(diametre), créé par Plot Digitizer, 2.6.9"
"Date: 11/04/2023, 13:12:09"


89
D,dFdlog10D
0.0170724,886598
0.0177382,912840
0.0183518,1.01781e+06
0.0192304,1.12090e+06
0.0203230,1.16963e+06
0.0194772,1.19588e+06
0.0207596,1.28210e+06
0.0215692,1.37395e+06
0.0226017,1.41331e+06
0.0245030,1.39456e+06
0.0233836,1.33271e+06
0.0234832,1312090
0.0252431,1.31959e+06
0.0263393,1.25023e+06
0.0285549,1.27273e+06
0.0277177,1.22024e+06
0.0299218,1.20712e+06
0.0309569,1.14902e+06
0.0325770,1.12465e+06
0.0354678,1.13215e+06
0.0327158,1104030
0.0338475,1.08716e+06
0.0357707,1.08529e+06
0.0373240,1.00094e+06
0.0373240,965323
0.0387797,963449
0.0408092,1.00281e+06
0.0408092,1.03093e+06
0.0409831,1.06279e+06
0.0453850,1.07591e+06
0.0438675,1.10965e+06
0.0473559,1.14152e+06
0.0487862,1.16401e+06
0.0533416,1.19213e+06
0.0575834,1.19963e+06
0.0547196,1.20712e+06
0.0600840,1.29709e+06
0.0634978,1.35895e+06
0.0691325,1.45642e+06
0.0724419,1.50890e+06
0.0778708,1.45080e+06
0.0792062,1.52765e+06
0.0819461,1.53889e+06
0.0858690,1.58201e+06
0.0930922,1.52577e+06
0.0892178,1452671
0.103530,1.48641e+06
0.100923,1.45455e+06
0.105754,1.31959e+06
0.110347,1.24086e+06
0.116122,1.22399e+06
0.117113,1.12840e+06
0.123767,1.13215e+06
0.132478,1.14339e+06
0.133043,1.08341e+06
0.133609,1.08341e+06
0.141802,933458
0.144849,817245
0.158374,809747
0.169520,858482
0.176132,920337
0.178392,837863
0.195881,835989
0.214171,811621
0.200089,759138
0.208778,759138
0.234169,841612
0.230221,747891
0.256035,779756
0.248529,738519
0.276395,734770
0.276395,706654
0.290860,663543
0.302204,644799
0.340402,633552
0.355185,571696
0.346240,532334
0.369037,569822
0.940210,279288
1.61320,82474.2
1.92853,44985.9
2.29572,28116.2
2.65270,14995.3
2.98800,16869.7
3.36568,11246.5
3.92225,11246.5
4.51293,9372.07
5.01895,9372.07
5.94920,9372.07
